person,topic_number,top_words
Caro's Album,0,"tropical_setting, sunbathing, relaxing, canvas, group_photo, urban_park, nature_view, indoor_exhibit, cultural_heritage, sunset"
Caro's Album,1,"tree, nature, outdoor_adventure, river, architecture, historic_building, statue, rock_formation, nature_view, urban_park"
Caro's Album,2,"sunset, indoor_exhibit, lake, calm_water, cultural_heritage, canvas, group_photo, relaxing, nature_view, urban_park"
Caro's Album,3,"hiking_trail, outdoor_adventure, scenic_view, nature, canvas, urban_park, group_photo, nature_view, relaxing, sunset"
Caro's Album,4,"group_photo, relaxing, cultural_heritage, clear_sky, canvas, tree, lake, calm_water, urban_park, sunbathing"
