person,topic_number,top_words
Cass's Album,0,"landmark, cloudy_sky, crowd, tourist_attraction, tree, architecture, historic_building, daytime, bridge, waterfront"
Cass's Album,1,"urban_area, landscape, blue_sky, team_sport, river, rowing, competition, bridge, hiking_spot, nature"
Cass's Album,2,"road_trip, driving, sunset, blue_sky, night_event, indoor_sport, open_road, table_setting, friend_gathering, tree"
Cass's Album,3,"outdoor, lake, calm_water, dock, nature, garden, green_leaf, flower, boat, reflection"
Cass's Album,4,"nature, spectator, tree, safari, wildlife, stadium, outdoor_seating, grassland, sunlight, reflection"
