person,topic_number,top_words
Paolo's Album,0,"historic_building, cloud, night_scene, daytime, lake, evening_walk, people_walking, tree, greenery, mountain"
Paolo's Album,1,"palm_tree, outdoor_seating, tourist_attraction, sunset, ocean, blue_sky, architecture, city_square, historic_building, night_scene"
Paolo's Album,2,"cloudy_sky, architecture, clear_sky, evening, church, historic_building, city_square, tourist, tree, people_walking"
Paolo's Album,3,"historic_building, greenery, architecture, urban_landscape, city_square, urban_area, boat, mountain, daytime, tourist"
