person,topic_number,top_words
Melissa's Album,0,"landmark, tourist, beach, friend, sunny_day, cloudy_sky, winter_clothing, colorful_display, travel, greenery"
Melissa's Album,1,"audience, theater, group_photo, modern_architecture, winter_clothing, landmark, greenery, viewpoint, sunset, clear_sky"
Melissa's Album,2,"friend_hangout, colorful_display, winter_clothing, landmark, tourist, travel, greenery, sunset, clear_sky, beach"
Melissa's Album,3,"travel, clear_sky, modern_architecture, beach, colorful_display, greenery, sunset, viewpoint, landmark, sunny_day"
Melissa's Album,4,"nature, viewpoint, sunset, greenery, cloudy_sky, sunny_day, friend, group_photo, travel, colorful_display"
