person,topic_number,top_words
Mike’s Album,0,"tree, outdoor_art, sculpture, tourist, greenery, hiking, friend_hangout, scenic_overlook, outdoor_adventure, forest"
Mike’s Album,1,"casual_attire, friend_hangout, group_photo, mountain_view, sunny_day, casual_clothing, desert_landscape, volcano, backpack, rocky_terrain"
Mike’s Album,2,"volcano, group_photo, skiing, snowboard, snowy_landscape, winter_sport, outdoor_recreation, mountain_view, scenic_view, outdoor_fun"
Mike’s Album,3,"nature, hiking, adventure, cloudy_sky, rocky_terrain, friend, outdoor_adventure, scenic_view, jungle, backpack"
Mike’s Album,4,"mountain_view, group_activity, rock_climbing, red_rock, desert_landscape, relaxing, friend_hangout, blue_sky, helmet, boat_ride"
